exchange,address
binance,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
binance,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c
binance,0x0681d8db095565fe8a346fa0277bffde9c0edbbf
binance,0x06a0048079ec6571cd1b537418869cde6191d42d
binance,0x141fef8cd8397a390afe94846c8bd6f4ab981c48
binance,0x19184ab45c40c2920b0e0e31413b9434abd243ed
binance,0x21a31ee1afc51d94c2efccaa2092ad1028285549
binance,0x28c6c06298d514db089934071355e5743bf21d60
binance,0x294b9b133ca7bc8ed2cdd03ba661a4c6d3a834d9
binance,0x2e581a5ae722207aa59acd3939771e7c7052dd3d
binance,0x2f7e209e0f5f645c7612d7610193fe268f118b28
binance,0x345d8e3a1f62ee6b1d483890976fd66168e390f2
binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be
binance,0x44592b81c05b4c35efb8424eb9d62538b949ebbf
binance,0x4976a4a02f38326660d17bf34b431dc6e2eb2327
binance,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b
binance,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67
binance,0x50d669f43b484166680ecc3670e4766cdb0945ce
binance,0x564286362092d8e7936f0549571a803b203aaced
binance,0x56eddb7aa87536c09ccc2793473599fd21a8b17f
binance,0x5d7f34372fa8708e09689d400a613eee67f75543
binance,0x5a52e96bacdabb82fd05763e25335261b270efcb
binance,0x708396f17127c42383e3b9014072679b2f60b82f
binance,0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e
binance,0x85b931a32a0725be14285b66f1a22178c672d69b
binance,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe
binance,0x8f22f2063d253846b53609231ed80fa571bc0c8f
binance,0x9696f59e4d72e237be84ffd425dcad154bf96976
binance,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8
binance,0xc3c8e0a39769e2308869f7461364ca48155d1d9e
binance,0xd551234ae421e3bcba99a0da6d736074f22192ff
binance,0xdfd5293d8e347dfe59e90efd55b2956a1343963d
binance,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7
binance,0xf977814e90da44bfa03b6295a0616a897441acec
binance,0xa344c7ada83113b3b56941f6e85bf2eb425949f3
binance,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3
binance,0xd9d93951896b4ef97d251334ef2a0e39f6f6d7d7
binance,0xe2fc31f816a9b94326492132018c3aecc4a93ae1
binance,0xfe9e8709d3215310075d67e3ed32a380ccf451c8
binance,bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz
binance,bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t
bitfinex,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f
bitfinex,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82
bitfinex,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c
bitfinex,0x3f7e77b627676763997344a1ad71acb765fc8ac5
bitfinex,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4
bitfinex,0x59448fe20378357f206880c58068f095ae63d5a5
bitfinex,0x742d35cc6634c0532925a3b844bc454e4438f44e
bitfinex,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec
bitfinex,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa
bitfinex,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c
bitfinex,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c
bitget,0x0639556f03714a74a5feeaf5736a4a64ff70d206
bitget,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689
bitget,0xe6a421f24d330967a3af2f4cdb5c34067e7e4d75
bitget,0xe80623a9d41f2f05780d9cd9cea0f797fd53062a
bybit,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4
bybit,0xee5b5b923ffce93a870b3104b7ca09c3db80047a
bybit,0xf89d7b9c864f589bbf53a82105107622b35eaa40
coindcx,0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe
crypto.com,0x35f517cab9a37bc31091c2f155d965af84e0bc85
crypto.com,0x46340b20830761efd32832a74d7169b29feb9758
crypto.com,0x6262998ced04146fa42253a5c0af90ca02dfd2a3
crypto.com,0x72a53cdbbcc1b9efa39c834a540550e23463aacb
crypto.com,0x7758e507850da48cd47df1fb5f875c23e3340c50
crypto.com,0xcffad3200574698b78f32232aa9d63eabd290703
deribit,0x062448f804191128d71fc72e10a1d13bd7308e7e
deribit,0x2eed6a08fb89a5cd111efa33f8dca46cfbeb370f
deribit,0x5f397b62502e255f68382791947d54c4b2d37f09
deribit,0x63f41034871535cee49996cc47719891fe03dff9
deribit,0x6b378be3c9642ccf25b1a27facb8ace24ac34a12
deribit,0x77021d475e36b3ab1921a0e3a8380f069d3263de
deribit,0x904cc2b2694ffa78f04708d6f7de205108213126
deribit,0xa0f6121319a34f24653fb82addc8dd268af5b9e1
deribit,0xa7e15ef7c01b58ebe5ef74aa73625ae4b11fe754
deribit,0xcfee6efec3471874022e205f4894733c42cbbf64
fameex,0x7b597942beb6e3eb3a63880e2377ca10e9e2e8f8
gate.io,0x0d0707963952f2fba59dd06f2b425ace40b492fe
gate.io,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c
gate.io,0x234ee9e35f8e9749a002fc42970d570db716453b
gate.io,0x7793cd85c11a924478d358d49b05b37e91b5810f
gate.io,0xc882b111a75c0c657fc507c04fbfcd2cc984f071
gate.io,0xd793281182a0e3e023116004778f45c29fc14f19
gemini,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea
gemini,0xafcd96e580138cfa2332c632e66308eacd45c5da
gemini,0xd24400ae8bfebb18ca49be86258a3c749cf46853
indodax,0x7b8ffa4fe43d1b476cff9d0787fc0019ca54e421
indodax,0x91dca37856240e5e1906222ec79278b16420dc92
korbit,0x2864de013415b6c2c7a96333183b20f0f9cc7532
korbit,0xd03be958e6b8da2d28ac8231a2291d6e4f0a7ea7
korbit,0xf0bc8fddb1f358cef470d63f96ae65b1d7914953
kucoin,0x1692e170361cefd1eb7240ec13d048fd9af6d667
kucoin,0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23
kucoin,0xd6216fc19db775df9774a6e33526131da7d19a2c
kucoin,0xd89350284c7732163765b23338f2ff27449e0bf5
kucoin,0x2b5634c42055806a59e9107ed44d43c426e58258
kucoin,0x4ad64983349c49defe8d7a4686202d24b25d0ce8
kucoin,0x689c56aef474df92d44a1b70850f808488f9769c
kucoin,0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea
kucoin,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346
kucoin,0x899b5d52671830f567bf43a14684eb14e1f945fe
kucoin,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf
kucoin,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd
kucoin,0xe59cd29be3be4461d79c0881d238cbe87d64595a
kucoin,0xec30d02f10353f8efc9601371f56e808751f396f
kucoin,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91
mexc,0x3cc936b795a188f0e246cbb2d74c5bd190aecf18
mexc,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88
okx,0x06d3a30cbb00660b85a30988d197b1c282c6dcb6
okx,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3
okx,0x276cdba3a39abf9cedba0f1948312c0681e6d5fd
okx,0x2c8fbb630289363ac80705a1a61273f76fd5a161
okx,0x313eb1c5e1970eb5ceef6aebad66b07c7338d369
okx,0x3d55ccb2a943d88d39dd2e62daf767c69fd0179f
okx,0x42436286a9c8d63aafc2eebbca193064d68068f2
okx,0x461249076b88189f8ac9418de28b365859e46bfd
okx,0x4d19c0a5357bc48be0017095d3c871d9afc3f21d
okx,0x5041ed759dd4afc3a72b8192c143f72f4724081a
okx,0x539c92186f7c6cc4cbf443f26ef84c595babbca1
okx,0x59fae149a8f8ec74d5bc038f8b76d25b136b9573
okx,0x5c52cc7c96bde8594e5b77d5b76d042cb5fae5f2
okx,0x65a0947ba5175359bb457d3b34491edf4cbf7997
okx,0x69a722f0b5da3af02b4a205d6f0c285f4ed8f396
okx,0x6fb624b48d9299674022a23d92515e76ba880113
okx,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b
okx,0x7eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2
okx,0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f
okx,0x96fdc631f02207b72e5804428dee274cf2ac0bcd
okx,0x9723b6d608d4841eb4ab131687a5d4764eb30138
okx,0x98ec059dc3adfbdd63429454aeb0c990fba4a128
okx,0xa7efae728d2936e78bda97dc267687568dd593f3
okx,0xbda23b750dd04f792ad365b5f2a6f1d8593796f2
okx,0xcba38020cd7b6f51df6afaf507685add148f6ab6
okx,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b
okx,0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f
okx,0xc5451b523d5fffe1351337a221688a62806ad91a
okx,0xc708a1c712ba26dc618f972ad7a187f76c8596fd
okx,0xe9172daf64b05b26eb18f07ac8d6d723acb48f99
okx,0xf59869753f41db720127ceb8dbb8afaf89030de4
okx,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840
phemex,0xf7d13c7dbec85ff86ee815f6dcbb3dedac78ca49
tapbit,0xaf76cef74a874bb74ac2edc59aff321ca84693f6
htx_huobi,0x034f854b44d28e26386c1bc37ff9b20c6380b00d
htx_huobi,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404
htx_huobi,0x0a98fb70939162725ae66e626fe4b52cff62c2e5
htx_huobi,0x0c6c34cdd915845376fb5407e0895196c9dd4eec
htx_huobi,0x1062a747393198f70f71ec65a582423dba7e5ab3
htx_huobi,0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5
htx_huobi,0x18709e89bd403f470088abdacebe86cc60dda12e
htx_huobi,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6
htx_huobi,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad
htx_huobi,0x30741289523c2e4d2a62c7d6722686d14e723851
htx_huobi,0x32598293906b5b17c27d657db3ad2c9b3f3e4265
htx_huobi,0x34189c75cbb13bdb4f5953cda6c3045cfca84a9e
htx_huobi,0x39d9f4640b98189540a9c0edcfa95c5e657706aa
htx_huobi,0x46705dfff24256421a05d056c29e81bdc09723b8
htx_huobi,0x49517ca7b7a50f592886d4c74175f4c07d460a70
htx_huobi,0x4d77a1144dc74f26838b69391a6d3b1e403d0990
htx_huobi,0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e
htx_huobi,0x5861b8446a2f6e19a067874c133f04c578928727
htx_huobi,0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c
htx_huobi,0x5c985e89dde482efe97ea9f1950ad149eb73829b
htx_huobi,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b
htx_huobi,0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380
htx_huobi,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b
htx_huobi,0x794d28ac31bcb136294761a556b68d2634094153
htx_huobi,0x7ef35bb398e0416b81b019fea395219b65c52164
htx_huobi,0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325
htx_huobi,0x926fc576b7facf6ae2d08ee2d4734c134a743988
htx_huobi,0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9
htx_huobi,0xcac725bef4f114f728cbcfd744a731c2a463c3fc
htx_huobi,0xdc76cd25977e0a5ae17155770273ad58648900d3
htx_huobi,0xe93381fb4c4f14bda253907b18fad305d799241a
htx_huobi,0xeec606a66edb6f497662ea31b5eb1610da87ab5f
htx_huobi,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58
htx_huobi,0xa8660c8ffd6d578f657b72c0c811284aef0b735e
htx_huobi,0xa929022c9107643515f5c777ce9a910f0d1e490c
htx_huobi,0xab5c66752a9e8167967685f1450532fb96d5d24f
htx_huobi,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94
htx_huobi,0xd8a83b72377476d0a66683cde20a8aad0b628713
htx_huobi,0xeee28d484628d41a82d01e21d12e2e78d69920da
htx_huobi,0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94
htx_huobi,0xf66852bc122fd40bfecc63cd48217e88bda12109
htx_huobi,0xfdb16996831753d5331ff813c29a93c76834a0ad
